Datetime,Location Code,Expected Value kWh,Capacity kWp,IRR Value W/m²,PR %,Energy kWh,temp,pressure,humidity,weather_main,Date,Hour,Month,DayOfYear,WeekOfYear,plant_class,weather_class
2021-01-04 08:00:00,SN2-NAP37-599489,1.461,114.4,51.067,78.713,1.15,23.4,1010,88,Rain,2021-01-04,8,1,4,1,37,2
2021-01-04 09:00:00,SN2-NAP37-599489,3.445,114.4,120.467,89.99,3.11,23.85,1010,91,Rain,2021-01-04,9,1,4,1,37,2
2021-01-04 10:00:00,SN2-NAP37-599489,6.427,114.4,224.733,88.688,5.7,24.89,1011,85,Clouds,2021-01-04,10,1,4,1,37,1
2021-01-04 11:00:00,SN2-NAP37-599489,7.812,114.4,273.133,89.99,7.96,25.21,1011,83,Clouds,2021-01-04,11,1,4,1,37,1
2021-01-04 12:00:00,SN2-NAP37-599489,12.841,114.4,449.0,86.364,11.09,26.15,1010,78,Clouds,2021-01-04,12,1,4,1,37,1
2021-01-04 13:00:00,SN2-NAP37-599489,13.854,114.4,484.393,89.99,16.47,27.24,1009,78,Clouds,2021-01-04,13,1,4,1,37,1
2021-01-04 14:00:00,SN2-NAP37-599489,7.987,114.4,279.269,69.864,5.58,27.25,1008,78,Clouds,2021-01-04,14,1,4,1,37,1
2021-01-04 15:00:00,SN2-NAP37-599489,2.969,114.4,103.828,89.99,2.99,27.66,1008,73,Clouds,2021-01-04,15,1,4,1,37,1
2021-01-04 16:00:00,SN2-NAP37-599489,2.883,114.4,100.818,56.538,1.63,27.66,1008,74,Rain,2021-01-04,16,1,4,1,37,2
2021-01-04 17:00:00,SN2-NAP37-599489,3.361,114.4,117.52,89.99,4.7,27.99,1008,69,Rain,2021-01-04,17,1,4,1,37,2
2021-01-04 18:00:00,SN2-NAP37-599489,1.144,114.4,40.0,89.99,2.52,27.12,1008,76,Rain,2021-01-04,18,1,4,1,37,2
2021-01-04 19:00:00,SN2-NAP37-599489,0.402,114.4,14.067,62.189,0.25,26.3,1008,83,Clouds,2021-01-04,19,1,4,1,37,1
2021-01-05 08:00:00,SN2-NAP37-599489,1.672,114.4,58.467,47.847,0.8,24.03,1009,88,Clouds,2021-01-05,8,1,5,1,37,1
2021-01-05 09:00:00,SN2-NAP37-599489,7.678,114.4,268.467,83.355,6.4,26.09,1009,80,Clouds,2021-01-05,9,1,5,1,37,1
2021-01-05 10:00:00,SN2-NAP37-599489,12.401,114.4,433.6,89.99,11.29,27.16,1010,76,Clouds,2021-01-05,10,1,5,1,37,1
